Component,References,Value,Quantity Per PCB,Description,Manufacturer,MPN,DigiKey,LCSC,JLCPCB,Datasheet,manufacturer,mpn,Sim.Pin,Sim.Name,Sim.Device,Sim.Pins,Sim.Params,Sim.Library,AliExpress
25,R3 R8 R9 R10 R11 R12 R13 R14 R21 R23 R24,10k,11,R0603 10k 1%,UNI-ROYAL(Uniroyal Elec),0603WAF1002T5E,,C25804,,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf,UNI-ROYAL(Uniroyal Elec),0603WAF1002T5E,,,,,,,
26,R20,24k,1,R0603 24k,UNI-ROYAL(Uniroyal Elec),0603WAF2402T5E,,C23352,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF2402T5E_C23352.pdf,,,,,,,,,
27,R7 R17,47k,2,R0603 47k 1%,UNI-ROYAL(Uniroyal Elec),0603WAF4702T5E,,C25804,C25819,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF4702T5E_C25819.pdf,,,,,,,,,
28,R16 R22,100k,2,R0603 100k 1%,UNI-ROYAL(Uniroyal Elec),0603WAF1003T5E,,C25803,C25803,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.pdf,,,,,,,,,
29,RV1,60V,1,MOV varistor 82V,R+O,HMLV1206-820G,,C49247588,,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2507031705_R-O-HMLV1206-820G_C49247588.pdf,,,,kicad_builtin_varistor,SUBCKT,1=A 2=B,threshold=1k,${KICAD9_SYMBOL_DIR}/Simulation_SPICE.sp,
30,SW1 SW3,BTN,2,"SMD, momentary, 5.1x5.1mm, 50mA@12VDC",XKB,TS-1187A-B-A-B,,C318884,C318884,https://www.helloxkb.com/public/images/pdf/TS-1187A-X-X-X.pdf,,,,,,,,,
31,SW2,BTN,1 (DNF),"SMD, momentary, 5.1x5.1mm, 50mA@12VDC",XKB,TS-1187A-B-A-B,,C318884,C318884,https://www.helloxkb.com/public/images/pdf/TS-1187A-X-X-X.pdf,,,,,,,,,
32,SW4,SW_DP3T,1,switch DP3T,SHOU HAN,MST23D18G2 125,,C2906281,,https://datasheet.lcsc.com/lcsc/2110190930_SHOU-HAN-MST23D18G2-125_C2906281.pdf,,,,,,,,,
33,U4,74HC14D,1,6x schmitt trigger inverter,Nexperia,"74HC14D,653",,,C5605,https://assets.nexperia.com/documents/data-sheet/74HC_HCT14.pdf,,,,,,,,,
34,U7,CH224K,1,USB PD sink,WCH,CH224K,,C970725,,https://www.wch-ic.com/downloads/CH224DS1_PDF.html,,,,,,,,,
35,U2,CH340K,1,USB to UART transceiver,WCH,CH340K,,C968586,,http://www.wch-ic.com/downloads/file/79.html,,,,,,,,,
36,U1,LMR16030,1,buck 4.53-60V 3A,Texas Instruments,LMR16030PDDAR,,C90665,,https://www.ti.com/lit/gpn/lmr16030,,,,,,,,,
37,U6,MAX3485ESA,1,"RS-485 transceiver, 3V",,,,C2841835,,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX3483-MAX3491.pdf,,,,,,,,,
38,U5,MP34DT05-A,1,MEMS microphone with PDM,STMicroelectronics,MP34DT05TR-A,,C2937733,,https://www.st.com/resource/en/datasheet/mp34dt05-a.pdf,STMicroelectronics,MP34DT05TR-A,,,,,,,
39,U3,WT32-ETH01,1,ESP32 board with ethernet,Wireless-Tag,WT32-ETH01,,C477837,,https://img01.71360.com/file/read/www2/M00/58/3F/rBwBEmRwFCWAaOK7AAvlVcuqEQk621.pdf?dl=1&dlf=WT32-ETH01_datasheet_V1.3+-+en.pdf,,,,,,,,,1005005967733312





Component Groups:,39
Component Count:,75
Fitted Components:,73
Number of PCBs:,1
Total components:,73
Schematic Version:,v0.49
Schematic Date:,2025-12-01
PCB Variant:,default
BoM Date:,2025-12-01T14:44:06+0100
Schematic Source:,wled-eth.versioned.kicad_sch
KiCad Version:,Eeschema 9.0.6
